Title,Genre(s),Developer(s),Publisher(s),Release date,Addons,Xbox One,Ref.
NA,EU,JP,AU
Naruto Shippuden: Ultimate Ninja Storm 3 Full Burst,"Fighting , expansion",CyberConnect2,Namco Bandai Games,"Oct 22, 2013","Oct 22, 2013",Unreleased,"Jan 31, 2014",,,
Naruto Shippuden: Ultimate Ninja Storm Generations,Fighting,CyberConnect2,Namco Bandai Games,"Mar 13, 2012","Mar 30, 2012","Feb 23, 2012","Nov 22, 2013",,,
Naruto Shippuden: Ultimate Ninja Storm Revolution,Fighting,CyberConnect2,Namco Bandai Games,"Sep 16, 2014","Sep 12, 2014","Sep 11, 2014","Nov 22, 2013",,,,
NASCAR 08,Racing,EA Tiburon,EA Sports,"Jul 23, 2007","Nov 9, 2007",Unreleased,"Nov 22, 2013",,,
NASCAR 09,Racing,EA Tiburon,EA Sports,"Jun 10, 2008","Jun 13, 2008",Unreleased,"Nov 22, 2013",,,
NASCAR '14,Racing,Eutechnyx,Activision,"Feb 18, 2014","Feb 18, 2014",Unreleased,"Nov 22, 2013",,,
NASCAR '15,Racing,Dusenberry Martin Racing,Activision,"May 22, 2015","May 22, 2015",Unreleased,"Nov 22, 2013",,,
NASCAR '15 Victory Edition,Racing,Dusenberry Martin Racing,Activision,"Oct 18, 2015","Oct 18, 2015",Unreleased,"Nov 22, 2013",,,
NASCAR The Game: 2011,Racing,Eutechnyx,Activision,"Mar 20, 2011","Mar 20, 2011",Unreleased,"Nov 22, 2013",,,
NASCAR The Game: Inside Line,Racing,Eutechnyx,Activision,"Nov 6, 2012","Nov 6, 2012",Unreleased,"Nov 22, 2013",,,
NASCAR Unleashed,Racing,Firebrand Games,Activision,"Nov 1, 2011","Nov 1, 2011",Unreleased,"Nov 22, 2013",,,
National Geo Challenge!,Trivia,Gusto Games,Black Bean Games,"Nov 23, 2011","Mar 17, 2011",Unreleased,Unreleased,,,
National Geo Challenge: Wild Life,Trivia,Gusto Games,Black Bean Games,Unreleased,"May 28, 2010",Unreleased,Unreleased,,,
Naughty Bear,Action,Artificial Mind and Movement,505 Games,"Jun 29, 2010","Jun 25, 2010",Unreleased,"Nov 22, 2013",,,
Naughty Bear: Panic in Paradise,Action & adventure,Behaviour Interactive,505 Games,"Oct 10, 2012",Unreleased,Unreleased,Unreleased,XBLA,,
Naval Assault: The Killing Tide,Simulation,Artech Studios,505 Games,"Jun 15, 2010","Jun 11, 2010",Unreleased,"Nov 22, 2013",,,
NBA 2K6,Sports,Visual Concepts,2K Sports,"Nov 22, 2005","Apr 28, 2006",Unreleased,"Mar 23, 2006",,,
NBA 2K7,Sports,Visual Concepts,2K Sports,"Sep 25, 2006","Nov 3, 2006",Unreleased,"Oct 20, 2006",,,
NBA 2K8,Sports,Visual Concepts,2K Sports,"Oct 2, 2007","Nov 2, 2007",Unreleased,"Nov 22, 2013",,,
NBA 2K9,Sports,Visual Concepts,2K Sports,"Oct 7, 2008","Oct 3, 2008",Unreleased,"Nov 22, 2013",,,
NBA 2K10,Sports,Visual Concepts,2K Sports,"Oct 6, 2009","Oct 6, 2009","Oct 15, 2009","Nov 22, 2013",,,
NBA 2K10 Draft Combine,Sports & recreation,Visual Concepts,2K Sports,"Aug 26, 2009",Unreleased,Unreleased,Unreleased,XBLA,,
NBA 2K11,Sports,Visual Concepts,2K Sports,"Oct 5, 2010","Oct 8, 2010","Oct 14, 2010","Nov 22, 2013",,,
NBA 2K12,Sports,Visual Concepts,2K Sports,"Oct 4, 2011","Oct 7, 2011",Unreleased,"Nov 22, 2013",,,
NBA 2K13,Sports,Visual Concepts,2K Sports,"Oct 2, 2012","Oct 5, 2012",Unreleased,"Nov 22, 2013",K,,
NBA 2K14,Sports,Visual Concepts,2K Sports,"Oct 1, 2013","Oct 3, 2013","Nov 7, 2013","Nov 22, 2013",K,,
NBA 2K15,Sports,Visual Concepts,2K Sports,"Oct 7, 2014","Oct 10, 2014","Nov 27, 2014","Nov 22, 2014",K,,
NBA 2K16,Sports,Visual Concepts,2K Sports,"Sep 29, 2015","Sep 29, 2015","Sep 29, 2015","Nov 22, 2015",K,,
NBA 2K17,Sports,Visual Concepts,2K Sports,"Sep 20, 2016","Sep 20, 2016","Sep 20, 2016","Nov 22, 2016",K,,
NBA 2K18,Sports,Visual Concepts,2K Sports,"Sep 15, 2017","Sep 15, 2017","Sep 15, 2017","Sep 15, 2017",K,,
NBA Baller Beats,Rhythm,HB Studios,Majesco Entertainment,"Sep 11, 2012",Unreleased,Unreleased,Unreleased,K,,
NBA Ballers: Chosen One,Sports,Midway Games,Midway Games,"Apr 21, 2008","Apr 25, 2008",Unreleased,Unreleased,,,
NBA Jam,Sports,EA Canada,EA Sports,"Nov 17, 2010","Nov 26, 2010",Unreleased,"Nov 22, 2013",,,
NBA Jam: On Fire Edition,Sports & recreation,EA Sports,Electronic Arts,"Oct 4, 2011","Oct 4, 2011",Unreleased,Unreleased,XBLA,XBO,
NBA Live 06,Sports,EA Canada,EA Sports,"Nov 22, 2005","Dec 2, 2005","Jan 19, 2006",Unreleased,,,
NBA Live 07,Sports,EA Canada,EA Sports,"Sep 25, 2006","Oct 20, 2006","Nov 22, 2006","Oct 19, 2006",,,
NBA Live 08,Sports,EA Canada,EA Sports,"Oct 2, 2007","Oct 5, 2007","Nov 8, 2007","Nov 22, 2013",,,
NBA Live 09,Sports,EA Canada,EA Sports,"Oct 7, 2008","Oct 10, 2008","Oct 23, 2008","Nov 22, 2013",,,
NBA Live 10,Sports,EA Canada,EA Sports,"Oct 6, 2009","Oct 16, 2009","Nov 5, 2009","Nov 22, 2013",,,
NBA Street Homecourt,Sports,EA Canada,EA Sports,"Feb 20, 2007","Mar 23, 2007","May 24, 2007","Nov 22, 2013",,,
NBA Unrivaled,Sports & recreation,A.C.R.O.N.Y.M. Games,Tecmo,"Nov 11, 2009",Unreleased,Unreleased,Unreleased,XBLA,,
NCAA Basketball 09 [ note 3 ],Sports,EA Canada,EA Sports,"Nov 17, 2008",Unreleased,Unreleased,Unreleased,,,
NCAA Basketball 09: March Madness Edition,Sports & recreation,EA Canada,Electronic Arts,"Mar 11, 2009",Unreleased,Unreleased,Unreleased,XBLA,,
NCAA Basketball 10,Sports,EA Canada,EA Sports,"Nov 18, 2009",Unreleased,Unreleased,Unreleased,,,
NCAA Football 07,Sports,EA Tiburon,EA Sports,"Jul 18, 2006",Unreleased,Unreleased,Unreleased,,,
NCAA Football 08,Sports,EA Tiburon,EA Sports,"Jul 17, 2007",Unreleased,Unreleased,Unreleased,,,
NCAA Football 09,Sports,EA Tiburon,EA Sports,"Jul 15, 2008",Unreleased,Unreleased,Unreleased,,,
NCAA Football 10,Sports,EA Tiburon,EA Sports,"Jul 14, 2009",Unreleased,Unreleased,Unreleased,,,
NCAA Football 11,Sports,EA Tiburon,EA Sports,"Jul 13, 2010",Unreleased,Unreleased,Unreleased,,,
NCAA Football 12,Sports,EA Tiburon,EA Sports,"Jul 12, 2011",Unreleased,Unreleased,Unreleased,,,
NCAA Football 13,Sports,EA Tiburon,EA Sports,"Jul 10, 2012",Unreleased,Unreleased,Unreleased,,,
NCAA Football 14,Sports,EA Tiburon,EA Sports,"Jul 9, 2013",Unreleased,Unreleased,Unreleased,,,
NCAA March Madness 07,Sports,EA Canada,EA Sports,"Jan 17, 2007",Unreleased,Unreleased,Unreleased,,,
NCAA March Madness 08,Sports,EA Canada,EA Sports,"Dec 11, 2007",Unreleased,Unreleased,Unreleased,,,
NCIS: The Game,Adventure,Ubisoft,Ubisoft,"Nov 1, 2011","Oct 28, 2011",Unreleased,"Nov 22, 2013",,,
Need for Speed: Carbon,Racing,EA Black Box,Electronic Arts,"Oct 31, 2006","Nov 3, 2006","Dec 21, 2006","Nov 22, 2013",,,
Need for Speed: Hot Pursuit,Racing,Criterion Games,Electronic Arts,"Nov 16, 2010","Nov 19, 2010","Dec 9, 2010","Nov 22, 2013",,,
Need for Speed: Most Wanted (2005),Racing,EA Black Box,Electronic Arts,"Nov 22, 2005","Dec 2, 2005","Dec 10, 2005","Mar 23, 2006",,,
Need for Speed: Most Wanted (2012),Racing,Criterion Games,Electronic Arts,"Oct 30, 2012","Nov 2, 2012","Nov 15, 2012","Nov 22, 2013",K,,
Need for Speed: ProStreet,Racing,EA Black Box,Electronic Arts,"Nov 14, 2007","Nov 23, 2007","Mar 19, 2008","Nov 22, 2013",,,
Need for Speed: Rivals,Racing,Ghost Games,Electronic Arts,"Nov 13, 2013","Nov 13, 2013","Nov 13, 2013","Nov 22, 2013",K,,
Need for Speed: Shift,Racing,Slightly Mad Studios,Electronic Arts,"Sep 15, 2009","Sep 17, 2009","Sep 17, 2009","Nov 22, 2013",,,
Need for Speed: The Run,Racing,EA Black Box,Electronic Arts,"Nov 15, 2011","Nov 18, 2011","Dec 8, 2011","Nov 22, 2013",,,
Need for Speed: Undercover,Racing,EA Black Box,Electronic Arts,"Nov 18, 2008","Nov 21, 2008","Dec 18, 2008","Nov 22, 2013",,,
NeoGeo Battle Coliseum,Classics,SNK,SNK,"Jun 9, 2010",Unreleased,Unreleased,Unreleased,XBLA,XBO,
NeverDead,Action,Rebellion Developments,Konami,"Jan 31, 2012","Feb 3, 2012","Feb 2, 2012","Nov 22, 2013",,,
New Rally-X,Classics,Bandai Namco Entertainment,Bandai Namco Entertainment,"Dec 27, 2006",Unreleased,Unreleased,Unreleased,XBLA,XBO,
Nexuiz,Shooter,IllFonic,THQ,"Feb 29, 2012",Unreleased,Unreleased,Unreleased,XBLA,,
NFL Blitz,Sports & recreation,EA Tiburon,Electronic Arts,"Jan 4, 2012",Unreleased,Unreleased,Unreleased,XBLA,,
NFL Head Coach 09,Sports Management,EA Tiburon,EA Sports,"Sep 3, 2008","Sep 3, 2008",Unreleased,"Nov 22, 2013",,,
NFL Tour,Sports,EA Tiburon,EA Sports,"Jan 8, 2008","Feb 1, 2008",Unreleased,"Nov 22, 2013",,,
NHL 07,Sports,EA Canada,EA Sports,"Sep 12, 2006","Sep 22, 2006",Unreleased,"Nov 22, 2013",,,
NHL 08,Sports,EA Canada,EA Sports,"Sep 11, 2007","Sep 21, 2007",Unreleased,"Nov 22, 2013",,,
NHL 09,Sports,EA Canada,EA Sports,"Sep 9, 2008","Sep 12, 2008",Unreleased,"Nov 22, 2013",,,
NHL 10,Sports,EA Canada,EA Sports,"Sep 15, 2009","Sep 18, 2009",Unreleased,"Nov 22, 2013",,,
NHL 11,Sports,EA Canada,EA Sports,"Sep 7, 2010","Sep 17, 2010",Unreleased,"Nov 22, 2013",,,
NHL 12,Sports,EA Canada,EA Sports,"Sep 13, 2011","Sep 9, 2011",Unreleased,"Nov 22, 2013",,,
NHL 13,Sports,EA Canada,EA Sports,"Sep 11, 2012","Sep 11, 2012",Unreleased,"Nov 22, 2013",,,
NHL 14,Sports,EA Canada,EA Sports,"Sep 10, 2013","Sep 13, 2013",Unreleased,"Nov 22, 2013",,,
NHL 15,Sports,EA Canada,EA Sports,"Sep 9, 2014","Sep 12, 2014",Unreleased,"Nov 22, 2013",,,
NHL: Legacy Edition,Sports,EA Canada,EA Sports,"Sep 15, 2015","Sep 17, 2015",Unreleased,"Sep 18, 2015",,,
NHL 2K6,Sports,Kush Games,2K Sports,"Nov 22, 2005","Apr 28, 2006",Unreleased,"Mar 23, 2006",,,
NHL 2K7,Sports,Kush Games,2K Sports,"Sep 12, 2006","Nov 3, 2006",Unreleased,"Nov 22, 2013",,,
NHL 2K8,Sports,Kush Games,2K Sports,"Sep 11, 2007","Nov 2, 2007",Unreleased,"Nov 22, 2013",,,
NHL 2K9,Sports,Visual Concepts,2K Sports,"Sep 8, 2008","Sep 12, 2008","Apr 29, 2009","Nov 22, 2013",,,
NHL 2K10,Sports,Visual Concepts,2K Sports,"Sep 15, 2009","Sep 18, 2009","Oct 15, 2009",Unreleased,,,
Nickelodeon Dance,,High Voltage Software,2K Play,"Nov 8, 2011","Nov 25, 2011","Nov 25, 2011",,K,,
Nickelodeon Dance 2,,High Voltage Software,2K Play,"Nov 6, 2012","Nov 6, 2012","Nov 6, 2012",Unreleased,K,,
Nicktoons MLB,Sports,High Voltage Software,2K Play,"Sep 13, 2011",Unreleased,Unreleased,Unreleased,K,,
Nier,Action RPG,Cavia,Square Enix,"Apr 27, 2010","Apr 23, 2010","Apr 22, 2010","Nov 22, 2013",,,
Night at the Museum: Battle of the Smithsonian,Action,Amaze Entertainment,Majesco Entertainment,"May 5, 2009","May 5, 2009",Unreleased,"Nov 22, 2013",,,
NiGHTS into Dreams...,Classics,Sonic Team,Sega,"Oct 5, 2012",Unreleased,Unreleased,Unreleased,XBLA,XBO,
Nike+ Kinect Training,,Sumo Digital,Microsoft Studios,"Oct 30, 2012","Nov 2, 2012",Unreleased,Unreleased,K,,
NIN2-JUMP,Action & adventure,CAVE,CAVE,"Apr 27, 2011",Unreleased,Unreleased,Unreleased,XBLA,XBO,
Ninety-Nine Nights,"Hack and slash , action","Q Entertainment , Phantagram",Microsoft Game Studios,"Aug 15, 2006","Sep 1, 2006","Apr 20, 2006","Aug 28, 2006",,,
Ninety-Nine Nights II,"Hack and slash , role-playing","Q Entertainment , Feelplus",Konami,"Jun 29, 2010","Sep 10, 2010","Jul 22, 2010","Nov 22, 2013",,,
Ninja Blade,Action-adventure,From Software,Microsoft Game Studios,"Apr 7, 2009","Apr 3, 2009","Jan 29, 2009","Nov 22, 2013",,,
Ninja Gaiden 3,"Hack and slash , action-adventure",Team Ninja,Tecmo Koei,"Mar 20, 2012","Mar 23, 2012","Mar 22, 2010","Nov 22, 2013",,,
Ninja Gaiden 3: Razor's Edge,"Hack and slash , action-adventure",Team Ninja,Tecmo,"Apr 2, 2013","Apr 5, 2013","Apr 4, 2013","Nov 22, 2013",,XBO,
Ninja Gaiden II,"Hack and slash , action-adventure",Team Ninja,Microsoft Game Studios,"Jun 3, 2008","Jun 6, 2008","Jun 5, 2008","Nov 22, 2013",,XBO XE,
No Fate! Only the Power of Will,Visual novel,Alchemist,Alchemist,Unreleased,Unreleased,"Feb 25, 2010","Nov 22, 2013",,,
No More Heroes: Heroes' Paradise,"Hack and slash , action-adventure",feelplus,Marvelous Entertainment,Unreleased,Unreleased,"Apr 15, 2010","Nov 22, 2013",,,
Nobunaga no Yabou: Tendou,"Grand strategy wargame , action RPG , Turn-based strategy",Koei,Koei,Unreleased,Unreleased,"Mar 4, 2010","Nov 22, 2013",,,
Novadrome,Racing & flying,Stainless Games,Microsoft Game Studios,"Dec 20, 2006",Unreleased,Unreleased,Unreleased,XBLA,,
NPPL Championship Paintball 2009,First-person shooter,Sand Grain Studios,Activision,"Nov 11, 2008","Nov 11, 2008",Unreleased,"Nov 22, 2013",,,
Nurarihyon no Mago: Hyakki Ryouran Taisen,Fighting,Arc System Works,Konami,Unreleased,Unreleased,"Nov 17, 2011",Unreleased,,,
Obut Pétanque,Sports,Kylotonn,Bigben Interactive,Unreleased,"Dec 24, 2012",Unreleased,Unreleased,,,
Obut Pétanque 2,Sports,Kylotonn,Bigben Interactive,Unreleased,"Dec 14, 2014",Unreleased,Unreleased,,,
Of Orcs and Men,Action RPG,Cyanide Studio,Focus Home Interactive,Unreleased,"Oct 11, 2013","Oct 11, 2013","Oct 11, 2013",,,
Omega Five,Action & adventure,"Natsume Co., Ltd.",Hudson Soft,"Jan 9, 2008",Unreleased,Unreleased,Unreleased,XBLA,XBO,
Omerta – City of Gangsters,Simulation game,Haemimont Games,Kalypso Media,"Feb 12, 2013","Feb 1, 2013",Unreleased,"Nov 22, 2013",,,
Onechanbara: Bikini Samurai Squad,Hack and slash,Tamsoft,D3 Publisher,"Feb 10, 2009","Feb 27, 2009","Dec 14, 2006","Nov 22, 2013",,,
Onechanbara Z: Kagura,Hack and slash,Tamsoft,D3 Publisher,Unreleased,"Feb 27, 2009",Unreleased,Unreleased,,,
Open Season,Action-adventure,Ubisoft,Ubisoft,"Sep 19, 2006","Oct 6, 2006",Unreleased,"Nov 11, 2006",,,
Operation Darkness,Tactical RPG,Success Corporation,Success Corporation,"Jun 24, 2008","Jun 24, 2008","Oct 11, 2007","Nov 22, 2013",,,
Operation Flashpoint: Dragon Rising,"Tactical shooter , Open World",Codemasters,Codemasters,"Oct 6, 2009","Oct 9, 2009","Jan 14, 2010","Nov 22, 2013",,XBO,
Operation Flashpoint: Red River,Tactical shooter,Codemasters,Codemasters,"Jun 7, 2011","Apr 21, 2011","Jul 28, 2011","Nov 22, 2013",,XBO,
The Orange Box [ note 4 ],"First-person shooter , puzzle",Valve,Electronic Arts,"Oct 9, 2007","Oct 19, 2007","May 22, 2008","Nov 22, 2013",,XBO XE,
Orc Attack: Flatulent Rebellion,Action & adventure,Casual Brothers Games,GameMill Entertainment,"Oct 9, 2013",Unreleased,Unreleased,Unreleased,XBLA,,
Orcs Must Die!,Strategy & simulation,Robot Entertainment,Microsoft Studios,"Oct 5, 2011",Unreleased,Unreleased,Unreleased,XBLA,XBO,
Ore no Yome: Anata Dake no Hanayome,"Puzzle game, Visual novel",Idea Factory,Idea Factory,Unreleased,Unreleased,"Oct 28, 2010",Unreleased,,,
Otomedius Excellent,Scrolling shooter,Konami,Konami,"Nov 1, 2011","Nov 1, 2011","Apr 21, 2011","Nov 22, 2013",,,
Otomedius Gorgeous,Scrolling shooter,Konami,Konami,Unreleased,Unreleased,"Nov 20, 2008","Nov 22, 2013",,,
The Outfit,Tactical RPG,Relic Entertainment,THQ,"Mar 13, 2006","Mar 17, 2006","Nov 2, 2006","Mar 23, 2006",,,
Outland,Platformer,Housemarque,Ubisoft,"Apr 27, 2011",Unreleased,Unreleased,Unreleased,XBLA,XBO,
Outpost Kaloki X,Strategy & simulation,NinjaBee,Microsoft Game Studios,"Nov 22, 2005",Unreleased,Unreleased,Unreleased,XBLA,,
OutRun Online Arcade,Racing & flying,Sumo Digital,Sega,"Apr 15, 2009",Unreleased,Unreleased,Unreleased,XBLA,,
Over G Fighters,Combat Flight Simulator,Taito,Ubisoft,"Jun 27, 2006","Jun 30, 2006","Feb 23, 2006","Nov 22, 2013",,,
Overlord [ note 5 ],"Action-adventure , RPG",Triumph Studios,Codemasters,"Jun 26, 2007","Jun 29, 2007","May 29, 2008","Nov 22, 2013",,XBO,
Overlord II,"Action-adventure , RPG",Triumph Studios,Codemasters,"Jun 23, 2009","Jun 26, 2009",Unreleased,"Nov 22, 2013",,XBO,
Pacific Rim: The Video Game,Fighting,Yuke's,Yuke's,"Jul 12, 2013",Unreleased,Unreleased,Unreleased,XBLA,,
Pac-Man,Classics,Bandai Namco Entertainment,Bandai Namco Entertainment,"Aug 9, 2006",Unreleased,Unreleased,Unreleased,XBLA,XBO,
Pac-Man and the Ghostly Adventures,Platformer,Namco Bandai Games,Namco Bandai Games,"Oct 29, 2013","Mar 7, 2014",Unreleased,"Nov 22, 2013",,,
Pac-Man and the Ghostly Adventures 2,Platform,Namco Bandai Games,Namco Bandai Games,"Oct 14, 2014","Oct 14, 2014",Unreleased,"Nov 22, 2013",,,
Pac-Man Championship Edition,Action & adventure,Bandai Namco Entertainment,Bandai Namco Entertainment,"Jun 6, 2007",Unreleased,Unreleased,Unreleased,XBLA,XBO,
Pac-Man Championship Edition DX [ note 6 ],Action & adventure,Bandai Namco Entertainment,Bandai Namco Entertainment,"Nov 17, 2010",Unreleased,Unreleased,Unreleased,XBLA,XBO,
Pac-Man Museum (includes nine Pac-Man games),Action & adventure,Bandai Namco Entertainment,Bandai Namco Entertainment,"Feb 26, 2014",Unreleased,Unreleased,Unreleased,XBLA,XBO,
Painkiller: Hell & Damnation,First-person shooter,The Farm 51,Nordic Games,Unreleased,"Jun 28, 2013",Unreleased,"Nov 22, 2013",,,
Panzer General: Allied Assault,Card & board,Petroglyph Games,Ubisoft,"Oct 21, 2009",Unreleased,Unreleased,Unreleased,XBLA,,
Paperboy,Classics,Midway Games / Digital Eclipse,Midway Games,"Feb 14, 2007",Unreleased,Unreleased,Unreleased,XBLA,,
The Path of Go,Card & board,Microsoft Research Cambridge,Microsoft Game Studios,"Dec 15, 2010",Unreleased,Unreleased,Unreleased,XBLA,,
Payday 2,"First-person shooter , Tactical shooter","Overkill Software , Starbreeze Studios",505 Games,"Aug 13, 2013","Aug 14, 2013",Unreleased,"Nov 22, 2013",,,
PDC World Championship Darts 2008,Sports,Mere Mortals,Oxygen Interactive,Unreleased,"Sep 26, 2008",Unreleased,Unreleased,,,
PDC World Championship Darts Pro Tour,Sports,Redoubt,Oxygen Interactive,Unreleased,"Nov 26, 2010",Unreleased,Unreleased,,,
The Peanuts Movie: Snoopy's Grand Adventure,Platform,Beenox,Activision,"Nov 3, 2015","Nov 6, 2015","Nov 3, 2015","Nov 22, 2013",,,
Peggle,Puzzle & trivia,PopCap Games,PopCap Games,"Mar 11, 2009",Unreleased,Unreleased,Unreleased,XBLA,XBO,
Peggle 2,Puzzle & trivia,PopCap Games,Electronic Arts,"May 7, 2014",Unreleased,Unreleased,Unreleased,XBLA,XBO,
Penguins of Madagascar: Dr. Blowhole Returns - Again,,THQ,THQ,"Sep 6, 2011","Sep 16, 2011",Unreleased,Unreleased,K,,
Penny Arcade Adventures: On the Rain-Slick Precipice of Darkness Episode One,Role playing,Hothead Games,Microsoft Game Studios,"May 21, 2008",Unreleased,Unreleased,Unreleased,XBLA,,
Penny Arcade Adventures: On the Rain-Slick Precipice of Darkness Episode Two,Role playing,Hothead Games,Microsoft Game Studios,"Oct 29, 2008",Unreleased,Unreleased,Unreleased,XBLA,,
Perfect Dark,Classics,Rare / 4J Studios,Microsoft Game Studios,"Mar 17, 2010","Mar 17, 2010",Unreleased,"Mar 17, 2010",XBLA,XBO XE,
Perfect Dark Zero,"First-person shooter , stealth",Rare,Microsoft Game Studios,"Nov 22, 2005","Dec 2, 2005","Dec 10, 2005","Mar 23, 2006",,XBO XE,
Persona 4 Arena [ note 7 ],Fighting,Arc System Works,Atlus,"Aug 7, 2012","May 10, 2013","Jul 26, 2012","Nov 22, 2013",,XBO,
Persona 4 Arena Ultimax,Fighting,Arc System Works,Atlus,"Sep 30, 2014","Nov 21, 2014",Unreleased,Unreleased,,XBO,
Peter Jackson's King Kong,Action-adventure,Ubisoft Montpellier,Ubisoft,"Nov 22, 2005","Dec 2, 2005","Dec 22, 2005","Mar 30, 2006",,XBO,
Phantasy Star II,Classics,Sega / Backbone Entertainment,Sega,"Jun 10, 2009",Unreleased,Unreleased,Unreleased,XBLA,XBO,
Phantasy Star Universe [ note 8 ],Action RPG,Sonic Team,Sega,"Oct 25, 2006","Nov 24, 2006","Dec 14, 2006","Nov 30, 2006",,,
Phantom Breaker,Fighting,5pb.,5pb.,Unreleased,Unreleased,"Jun 2, 2011","Nov 22, 2013",,,
Phantom Breaker: Battle Grounds,Action & adventure,5pb. Division 2,5pb.,"Feb 27, 2013",Unreleased,Unreleased,Unreleased,XBLA,XBO,
Phantom Breaker: Extra,Fighting,5pb.,5pb.,Unreleased,Unreleased,"Sep 24, 2013",Unreleased,,,
Phantom: Phantom of Inferno,Visual novel,Nitro+,Nitro+,Unreleased,Unreleased,"Oct 25, 2012","Nov 22, 2013",,,
Phineas and Ferb: Quest for Cool Stuff,Platformer,Behaviour Interactive,"Majesco Entertainment , 505 Games","Aug 13, 2013","Jan 18, 2014",Unreleased,"Nov 22, 2013",,,
Pid,Action & adventure,Might and Delight,D3 Publisher,"Oct 31, 2012",Unreleased,Unreleased,Unreleased,XBLA,,
Pimp My Ride,Racing,Eutechnyx,Activision,"Dec 6, 2006","Mar 16, 2007",Unreleased,"Nov 22, 2013",,,
Pia Carrot e Youkoso!! 4: Natsu no Koikatsu,Dating Sim,GN Software,GN Software,Unreleased,Unreleased,"Feb 24, 2011",Unreleased,,,
The Pinball Arcade,Classics,FarSight Studios,Alliance Digital Media,"Apr 4, 2012",Unreleased,Unreleased,Unreleased,XBLA,,
Pinball FX,Sports & recreation,Zen Studios,Microsoft Game Studios,"Apr 25, 2007",Unreleased,Unreleased,Unreleased,XBLA,XBO,
Pinball FX 2,Sports & recreation,Zen Studios,Microsoft Game Studios,"Oct 27, 2010",Unreleased,Unreleased,Unreleased,XBLA,,
Pinball Hall of Fame: The Williams Collection,Sim,FarSight Studios,Crave Entertainment,"Sep 16, 2009","Sep 16, 2009",Unreleased,"Nov 22, 2013",,,
Pirates of the Caribbean: At World's End,Action-adventure,Eurocom,Buena Vista Games,"May 22, 2007","May 25, 2007",Unreleased,"Nov 22, 2013",,,
Pirates vs. Ninjas Dodgeball,Action & adventure,Blazing Lizard,Gamecock Media Group,"Sep 3, 2008",Unreleased,Unreleased,Unreleased,XBLA,,
Planet 51,Action-adventure,Pyro Studios,Sega,"Nov 17, 2009","Nov 17, 2009",Unreleased,"Nov 22, 2013",,,
Planets Under Attack,Strategy & simulation,Targem Games,TopWare Interactive,"Nov 14, 2012",Unreleased,Unreleased,Unreleased,XBLA,XBO,
Plants vs. Zombies,Action & adventure,PopCap Games,PopCap Games,"Sep 8, 2010",Unreleased,Unreleased,Unreleased,XBLA,XBO,
Plants vs. Zombies: Garden Warfare,"Tower defense , Third-person shooter",PopCap Games,Electronic Arts,"Feb 25, 2014","Feb 20, 2014","Sep 4, 2014","Nov 22, 2013",,,
PocketBike Racer,Racing,Blitz Games,King Games,"Nov 19, 2006",Unreleased,Unreleased,Unreleased,,,
Poker Night 2,Card & board,Telltale Games,Telltale Games,"Apr 24, 2013",Unreleased,Unreleased,Unreleased,XBLA,,
Poker Smash,Puzzle & trivia,Void Star Creations,Microsoft Game Studios,"Feb 6, 2008",Unreleased,Unreleased,Unreleased,XBLA,,
Polar Panic,Action & adventure,Eiconic Games,Valcon Games,"Dec 23, 2009",Unreleased,Unreleased,Unreleased,XBLA,,
Pool Nation,Sports & recreation,Cherry Pop Games,Mastertronic Group,"Oct 31, 2012",Unreleased,Unreleased,Unreleased,XBLA,,
Port Royale 3: Pirates & Merchants,Business simulation,Gaming Minds Studio,Kalypso Media,"Oct 2, 2012","Sep 7, 2012",Unreleased,"Nov 22, 2013",,XBO,
Portal 2,Puzzle Platform,Valve,Valve,"Apr 20, 2011","Apr 22, 2011","Apr 22, 2011","Apr 22, 2011",,XBO XE,
Portal: Still Alive,Puzzle & trivia,Valve,Microsoft Game Studios,"Oct 22, 2008",Unreleased,Unreleased,Unreleased,XBLA,XBO XE,
Power Gig: Rise of the SixString,Music,Seven45 Studios,Seven45 Studios,"Oct 19, 2010","Oct 19, 2010",Unreleased,"Nov 22, 2013",,,
Power Rangers Super Samurai,,Namco Bandai,Namco Bandai,"Dec 4, 2012","Dec 7, 2012",Unreleased,Unreleased,K,,
PowerUp Forever,Shooter,Blitz Arcade,Bandai Namco Entertainment,"Dec 10, 2008",Unreleased,Unreleased,Unreleased,XBLA,,
PowerUp Heroes,,Longtail Studios,Ubisoft,"Oct 18, 2011","Oct 7, 2011","Oct 6, 2011","Jan 19, 2012",K,,
Prey,First-person shooter,Human Head Studios,2K Games,"Jul 11, 2006","Jul 14, 2006","Dec 28, 2006","Jul 14, 2006",,XBO,
The Price is Right: The Decades,"Game show , Skill",Ludia,Ubisoft,"Nov 15, 2011","Nov 18, 2011",Unreleased,"Nov 22, 2013",K,,
Prince of Persia,"Action-adventure , Platform",Ubisoft Montreal,Ubisoft,"Dec 2, 2008","Dec 4, 2008","Dec 18, 2008","Nov 22, 2013",,XBO,
Prince of Persia: The Forgotten Sands,"Action-adventure , Platform , Hack and slash",Ubisoft,Ubisoft,"May 11, 2010","May 11, 2010","May 11, 2010","Nov 22, 2013",,XBO,
Prince of Persia Classic,Classics,Gameloft,Ubisoft,"Jun 13, 2007",Unreleased,Unreleased,Unreleased,XBLA,XBO,
